,-121.5288813,40.60535947,49.43592545,22.67573805,-2.318140161,-21.91259434,-36.11133848,-50.43351468,-72.17460029,-103.0843274,-122.0212148,-135.8659853,-149.507613,-155.6260171,-149.3850311,-141.387008,-129.6778203,-125.3228299,-123.2830502,-126.6105051,-243.6334717,-252.9738274,-251.3063572,-259.5973743,-259.7475876,-259.1406839,-258.559831,-257.6209793,-256.7503176,-256.2509667,-256.0582469,-256.5181399,-256.8813553,-257.6795114,-259.1286323,-259.7018521,-257.9983852,-257.1256876,-255.6443873,-254.9049298,-256.8654944,-287.7950428,-320.3145576,80.67423347,-99.8069015,0.01648719912,-0.1761401639,-0.134878457
0,-109.632,41.31465,46.38798,19.86389,-3.884836,-25.57539,-39.92237,-53.79886,-75.05473,-105.407,-124.224,-137.7165,-152.0138,-157.552,-151.5168,-144.0094,-133.9578,-127.4532,-126.6556,-126.3086,-252.1264,-263.3636,-265.949,-272.9667,-270.3378,-270.202,-267.2634,-265.5125,-265.9159,-269.0287,-268.8724,-269.8572,-264.5461,-266.0408,-266.7085,-267.2376,-267.1454,-265.3606,-265.2712,-265.1607,-262.6256,-295.4338,-332.6768,77.1716,-105.7044,0.5568247,-0.6017184,0.3390353
1,-124.5391,41.82629,49.83833,22.18564,-4.143826,-21.88754,-36.69316,-50.62841,-73.07977,-105.1656,-122.7962,-136.9904,-150.0369,-157.3301,-151.7376,-144.1262,-135.7615,-129.2671,-128.3788,-132.155,-258.6437,-265.9552,-256.8884,-268.8289,-268.2345,-267.0059,-266.7888,-267.6558,-266.392,-269.9836,-267.084,-266.0005,-269.2484,-269.9898,-268.931,-269.6904,-266.2269,-266.8321,-262.7934,-260.8651,-263.918,-294.7907,-326.3752,78.5184,-102.2537,0.3340974,-0.4812711,-3.85E-05
2,-122.3604,41.8263,49.83833,23.08854,-3.884837,-21.76037,-36.69316,-50.73774,-73.94382,-104.3204,-122.9152,-137.8375,-152.1237,-158.3286,-152.1794,-143.0751,-133.3565,-127.6728,-126.9018,-130.4498,-254.7816,-261.389,-256.8884,-265.0673,-267.4922,-260.9824,-265.2459,-265.6386,-264.0115,-258.7643,-258.6187,-259.3718,-260.7842,-258.5377,-260.041,-262.9774,-260.7162,-259.8426,-258.3593,-257.2205,-263.0133,-294.1476,-324.9311,80.80796,-103.0205,0.222737,-0.2403765,0.3390353
3,-120.2963,41.44257,48.68826,22.18564,-4.014331,-24.04939,-38.24318,-52.04965,-73.45008,-104.3204,-123.867,-138.5635,-152.4532,-158.6615,-153.1732,-144.0094,-131.192,-126.4637,-125.4248,-127.892,-248.385,-255.4652,-250.5077,-262.3088,-263.0382,-262.4576,-264.6526,-265.0082,-263.8925,-261.1514,-259.334,-258.6487,-261.4559,-260.9071,-261.6099,-261.9447,-261.6346,-261.0689,-260.1851,-259.173,-262.2379,-293.1187,-324.0121,76.36353,-107.4937,-0.111354,-0.2403765,-3.85E-05
4,-123.5071,41.31466,49.96616,21.79863,-3.107869,-23.66788,-38.37235,-52.7056,-73.94382,-105.8899,-125.0569,-138.8055,-152.0138,-158.7724,-153.0628,-145.9948,-133.597,-130.2117,-128.2557,-131.4242,-251.2816,-257.3163,-254.8466,-261.3057,-262.2958,-261.1053,-264.1779,-262.6128,-261.631,-256.974,-258.4994,-256.8409,-257.291,-258.6693,-260.1718,-258.8464,-257.6984,-256.8997,-254.4469,-253.8361,-261.0747,-291.8326,-320.5988,75.8248,-102.7649,0.1113733,0.3618599,-0.9042333
5,-127.2912,42.08212,51.75523,23.60444,-4.143826,-20.74304,-35.27232,-49.7538,-71.47514,-103.4753,-122.0823,-136.2644,-148.7189,-157.3301,-151.0751,-145.1772,-132.7553,-128.8818,-126.6556,-127.7702,-245.9711,-255.3418,-250.8906,-258.9234,-260.3163,-255.3277,-259.3122,-259.0827,-260.0837,-257.4514,-256.9494,-254.5509,-257.8284,-257.0898,-258.2107,-260.1373,-256.9112,-256.2866,-254.9686,-254.7473,-261.2039,-290.675,-319.0234,79.73051,-101.7425,-0.6681691,-0.6017184,0.2260118
6,-135.8915,41.18675,55.20559,28.24793,-2.071911,-15.52918,-32.30146,-47.34863,-68.26585,-100.457,-119.9406,-134.2072,-148.2796,-156.9973,-151.2959,-142.8415,-133.4768,-128.3982,-127.2711,-128.501,-245.0056,-252.3799,-248.3383,-257.6695,-259.2028,-260.9824,-261.923,-259.587,-258.8935,-254.5869,-254.4456,-253.1047,-257.4254,-255.7734,-257.4263,-258.8464,-255.8615,-255.0604,-252.0994,-249.4104,-258.7484,-289.7747,-310.8839,77.97968,-104.043,0.5568247,-0.9630604,0.4520589
7,-131.3046,40.16348,50.60512,24.24937,-1.812922,-22.26904,-36.69316,-51.17504,-72.21574,-104.5619,-124.5809,-139.1686,-154.2104,-159.1052,-153.5045,-143.8926,-135.521,-131.1789,-127.7634,-131.546,-243.1953,-253.614,-242.3404,-251.4002,-254.2539,-250.2877,-255.3958,-255.9309,-256.1559,-248.0225,-250.511,-250.6942,-251.7826,-251.6927,-252.9813,-252.7789,-250.7444,-249.665,-246.8829,-246.2864,-256.8098,-288.4886,-306.1577,77.71032,-104.9376,0.6681884,-0.2403765,-0.1130621
8,-123.3924,40.67511,48.17709,21.41167,-3.366857,-24.93956,-37.33901,-51.83099,-74.19068,-104.5619,-125.1759,-138.5635,-151.7942,-159.438,-153.3941,-145.1772,-134.6793,-129.849,-127.8865,-130.328,-240.2987,-241.1494,-235.8321,-248.5163,-252.7692,-250.9023,-255.7519,-256.6873,-256.8701,-252.3192,-248.4841,-247.8017,-250.4391,-247.0856,-247.7519,-247.3569,-244.184,-246.4768,-243.3617,-243.2925,-254.8711,-284.1157,-304.1884,82.5588,-100.9757,0.222737,1.204991,0.5650824
